,gender,match,same_race,age_o,race_o,decision_o,attractiveness_o,sincerity_o,intelligence_o,fun_o,ambition_o,shared_interest_o,like_o,age,field,field_cd,race,race_important,religion_important,from,goal,frequency_of_date,frequency_go_out,career,career_c,decision,attractiveness,sincerity,intelligence,fun,ambition,shared_interest,length,you_call,them_cal
10,Female,No,Yes,27.0,European/Caucasion-American,No,8.0,7.0,6.0,9.0,7.0,4.0,7.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,5.0,7.0,8.0,4.0,6.0,3.0,Too much,0.0,0.0
11,Female,No,Yes,22.0,European/Caucasion-American,No,7.0,6.0,10.0,6.0,6.0,5.0,8.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,8.0,5.0,6.0,6.0,9.0,6.0,Too much,0.0,0.0
12,Female,No,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,5.0,8.0,9.0,6.0,3.0,4.0,Too much,0.0,0.0
13,Female,Yes,Yes,23.0,European/Caucasion-American,Yes,9.0,9.0,9.0,9.0,9.0,9.0,9.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,Yes,7.0,9.0,7.0,6.0,5.0,7.0,Too much,0.0,0.0
14,Female,No,No,24.0,Latino/Hispanic American,Yes,10.0,10.0,10.0,10.0,7.0,8.0,10.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,6.0,8.0,7.0,9.0,7.0,8.0,Too much,0.0,0.0
15,Female,No,Yes,25.0,European/Caucasion-American,Yes,7.0,8.0,7.0,5.0,7.0,7.0,7.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,8.0,7.0,8.0,3.0,6.0,2.0,Too much,0.0,0.0
16,Female,No,Yes,30.0,European/Caucasion-American,No,5.0,3.0,4.0,3.0,5.0,3.0,4.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,Yes,7.0,5.0,9.0,6.0,7.0,9.0,Too much,0.0,0.0
17,Female,No,Yes,27.0,European/Caucasion-American,Yes,7.0,7.0,7.0,7.0,7.0,5.0,7.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,No,5.0,8.0,7.0,5.0,9.0,5.0,Too much,0.0,0.0
18,Female,Yes,Yes,28.0,European/Caucasion-American,Yes,8.0,6.0,9.0,9.0,8.0,7.0,8.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,Yes,7.0,6.0,8.0,9.0,4.0,5.0,Too much,0.0,0.0
19,Female,No,Yes,24.0,European/Caucasion-American,No,6.0,5.0,7.0,7.0,9.0,7.0,6.0,24.0,law,Law,European/Caucasion-American,2.0,5.0,Alabama,Seemed like a fan night out,Once a month,Several times a week,law,,Yes,6.0,7.0,8.0,7.0,9.0,8.0,Too much,0.0,0.0
20,Female,No,Yes,27.0,European/Caucasion-American,No,7.0,8.0,6.0,5.0,8.0,4.0,5.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,7.0,9.0,10.0,7.0,8.0,9.0,,,
21,Female,No,Yes,22.0,European/Caucasion-American,No,6.0,7.0,10.0,6.0,6.0,5.0,7.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,9.0,7.0,9.0,8.0,9.0,7.0,,,
22,Female,No,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,7.0,9.0,9.0,7.0,9.0,7.0,,,
23,Female,No,Yes,23.0,European/Caucasion-American,Yes,7.0,9.0,8.0,8.0,8.0,8.0,7.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,9.0,7.0,9.0,7.0,9.0,7.0,,,
24,Female,No,No,24.0,Latino/Hispanic American,Yes,6.0,10.0,8.0,6.0,,,6.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,9.0,10.0,10.0,10.0,10.0,10.0,,,
25,Female,No,Yes,25.0,European/Caucasion-American,Yes,7.0,6.0,6.0,6.0,6.0,6.0,6.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,8.0,10.0,10.0,7.0,9.0,9.0,,,
26,Female,No,Yes,30.0,European/Caucasion-American,No,6.0,3.0,5.0,4.0,5.0,4.0,2.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,8.0,9.0,10.0,7.0,7.0,9.0,,,
27,Female,No,Yes,27.0,European/Caucasion-American,No,4.0,5.0,6.0,4.0,6.0,4.0,5.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,7.0,9.0,9.0,8.0,9.0,7.0,,,
28,Female,No,Yes,28.0,European/Caucasion-American,Yes,7.0,7.0,6.0,8.0,7.0,7.0,7.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,9.0,9.0,9.0,9.0,9.0,9.0,,,
29,Female,No,Yes,24.0,European/Caucasion-American,No,5.0,6.0,8.0,5.0,8.0,6.0,5.0,25.0,Economics,Math,European/Caucasion-American,8.0,4.0,Connecticut,Other,Once a week,Several times a week,Economist,,No,8.0,7.0,9.0,7.0,9.0,7.0,,,
30,Female,No,Yes,27.0,European/Caucasion-American,No,6.0,7.0,8.0,7.0,7.0,5.0,6.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,4.0,10.0,8.0,5.0,8.0,7.0,Just Right,0.0,0.0
31,Female,No,Yes,22.0,European/Caucasion-American,No,6.0,5.0,10.0,6.0,6.0,5.0,6.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,8.0,7.0,8.0,10.0,7.0,8.0,Just Right,0.0,0.0
32,Female,No,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,4.0,7.0,8.0,8.0,6.0,7.0,Just Right,0.0,0.0
33,Female,Yes,Yes,23.0,European/Caucasion-American,Yes,7.0,7.0,7.0,9.0,9.0,9.0,8.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,Yes,8.0,10.0,7.0,10.0,7.0,10.0,Just Right,0.0,0.0
34,Female,No,No,24.0,Latino/Hispanic American,Yes,8.0,8.0,9.0,8.0,8.0,9.0,9.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,6.0,9.0,8.0,9.0,8.0,9.0,Just Right,0.0,0.0
35,Female,No,Yes,25.0,European/Caucasion-American,Yes,6.0,6.0,7.0,7.0,8.0,7.0,6.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,5.0,10.0,8.0,4.0,8.0,2.0,Just Right,0.0,0.0
36,Female,No,Yes,30.0,European/Caucasion-American,Yes,7.0,6.0,3.0,5.0,6.0,5.0,6.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,7.0,10.0,10.0,7.0,10.0,5.0,Just Right,0.0,0.0
37,Female,No,Yes,27.0,European/Caucasion-American,No,6.0,7.0,8.0,6.0,6.0,5.0,7.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,No,5.0,9.0,9.0,5.0,9.0,7.0,Just Right,0.0,0.0
38,Female,Yes,Yes,28.0,European/Caucasion-American,Yes,7.0,7.0,7.0,10.0,9.0,10.0,8.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,Yes,9.0,8.0,10.0,10.0,7.0,8.0,Just Right,0.0,0.0
39,Female,No,Yes,24.0,European/Caucasion-American,No,7.0,8.0,8.0,7.0,8.0,7.0,7.0,23.0,Law,Law,European/Caucasion-American,1.0,1.0,Texas,Seemed like a fan night out,Once a month,Several times a week,lawyer/policy work,Lawyer,Yes,8.0,9.0,10.0,10.0,8.0,8.0,Just Right,0.0,0.0
40,Female,No,Yes,27.0,European/Caucasion-American,No,6.0,8.0,8.0,8.0,7.0,6.0,6.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,No,5.0,8.0,8.0,2.0,2.0,2.0,Too much,0.0,0.0
41,Female,No,Yes,22.0,European/Caucasion-American,No,6.0,7.0,10.0,7.0,6.0,5.0,7.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,No,8.0,6.0,6.0,5.0,5.0,5.0,Too much,0.0,0.0
42,Female,No,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,No,4.0,6.0,8.0,8.0,6.0,5.0,Too much,0.0,0.0
43,Female,Yes,Yes,23.0,European/Caucasion-American,Yes,6.0,8.0,6.0,8.0,10.0,10.0,7.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,8.0,5.0,5.0,7.0,7.0,9.0,Too much,0.0,0.0
44,Female,No,No,24.0,Latino/Hispanic American,No,5.0,9.0,9.0,7.0,9.0,5.0,5.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,No,6.0,7.0,7.0,5.0,4.0,8.0,Too much,0.0,0.0
45,Female,No,Yes,25.0,European/Caucasion-American,No,5.0,8.0,7.0,7.0,7.0,7.0,6.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,5.0,6.0,7.0,5.0,7.0,8.0,Too much,0.0,0.0
46,Female,No,Yes,30.0,European/Caucasion-American,No,2.0,3.0,4.0,4.0,5.0,3.0,3.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,6.0,6.0,8.0,5.0,5.0,6.0,Too much,0.0,0.0
47,Female,No,Yes,27.0,European/Caucasion-American,No,5.0,5.0,6.0,5.0,5.0,5.0,6.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,5.0,5.0,7.0,6.0,7.0,5.0,Too much,0.0,0.0
48,Female,Yes,Yes,28.0,European/Caucasion-American,Yes,5.0,9.0,9.0,9.0,9.0,6.0,7.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,7.0,5.0,7.0,8.0,7.0,9.0,Too much,0.0,0.0
49,Female,No,Yes,24.0,European/Caucasion-American,No,3.0,10.0,7.0,7.0,10.0,5.0,4.0,21.0,Law,Law,European/Caucasion-American,8.0,1.0,Bowdoin College,To meet new people,Twice a month,Several times a week,lawyer,Lawyer,Yes,9.0,6.0,7.0,9.0,6.0,5.0,Too much,0.0,0.0
50,Female,No,No,27.0,European/Caucasion-American,No,7.0,9.0,8.0,9.0,8.0,4.0,7.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,6.0,9.0,7.0,6.0,7.0,6.0,Just Right,,
51,Female,No,No,22.0,European/Caucasion-American,No,6.0,8.0,10.0,6.0,7.0,6.0,7.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,6.0,9.0,9.0,6.0,8.0,2.0,Just Right,,
52,Female,No,Yes,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,No,4.0,7.0,9.0,4.0,3.0,2.0,Just Right,,
53,Female,Yes,No,23.0,European/Caucasion-American,Yes,6.0,8.0,8.0,7.0,9.0,8.0,7.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,8.0,6.0,7.0,8.0,2.0,8.0,Just Right,,
54,Female,No,No,24.0,Latino/Hispanic American,Yes,9.0,7.0,9.0,7.0,9.0,6.0,9.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,No,5.0,4.0,8.0,8.0,4.0,2.0,Just Right,,
55,Female,No,No,25.0,European/Caucasion-American,Yes,6.0,6.0,8.0,8.0,8.0,7.0,6.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,No,3.0,7.0,6.0,1.0,1.0,1.0,Just Right,,
56,Female,No,No,30.0,European/Caucasion-American,No,5.0,6.0,8.0,4.0,5.0,4.0,3.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,8.0,8.0,8.0,8.0,3.0,4.0,Just Right,,
57,Female,No,No,27.0,European/Caucasion-American,No,6.0,7.0,8.0,7.0,8.0,5.0,7.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,No,4.0,8.0,9.0,2.0,8.0,3.0,Just Right,,
58,Female,Yes,No,28.0,European/Caucasion-American,Yes,6.0,7.0,7.0,6.0,6.0,6.0,6.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,7.0,6.0,8.0,8.0,6.0,9.0,Just Right,,
59,Female,No,No,24.0,European/Caucasion-American,No,7.0,10.0,10.0,6.0,10.0,7.0,6.0,23.0,law,Law,Asian/Pacific Islander/Asian-American,1.0,1.0,MD,Seemed like a fan night out,Once a week,Several times a week,lawyer,Lawyer,Yes,8.0,9.0,9.0,9.0,10.0,7.0,Just Right,,
60,Female,No,No,27.0,European/Caucasion-American,No,7.0,8.0,8.0,8.0,7.0,7.0,7.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,4.0,8.0,8.0,5.0,7.0,4.0,,,
61,Female,No,No,22.0,European/Caucasion-American,Yes,7.0,9.0,10.0,6.0,6.0,5.0,8.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,6.0,6.0,8.0,4.0,9.0,4.0,,,
62,Female,No,Yes,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,3.0,6.0,8.0,7.0,8.0,8.0,,,
63,Female,Yes,No,23.0,European/Caucasion-American,Yes,8.0,8.0,9.0,8.0,9.0,9.0,8.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,Yes,7.0,8.0,8.0,7.0,7.0,6.0,,,
64,Female,No,No,24.0,Latino/Hispanic American,Yes,8.0,7.0,9.0,6.0,9.0,5.0,8.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,4.0,7.0,7.0,4.0,8.0,5.0,,,
65,Female,No,No,25.0,European/Caucasion-American,Yes,8.0,8.0,8.0,6.0,6.0,6.0,7.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,4.0,8.0,7.0,4.0,5.0,4.0,,,
66,Female,No,No,30.0,European/Caucasion-American,No,7.0,6.0,5.0,4.0,4.0,3.0,5.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,Yes,7.0,7.0,8.0,7.0,7.0,7.0,,,
67,Female,No,No,27.0,European/Caucasion-American,Yes,8.0,7.0,6.0,7.0,7.0,5.0,7.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,No,5.0,7.0,8.0,5.0,9.0,5.0,,,
68,Female,Yes,No,28.0,European/Caucasion-American,Yes,9.0,7.0,9.0,9.0,9.0,10.0,9.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,Yes,6.0,6.0,8.0,8.0,8.0,6.0,,,
69,Female,No,No,24.0,European/Caucasion-American,No,7.0,6.0,8.0,6.0,8.0,7.0,7.0,22.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Southern California,Seemed like a fan night out,Once a month,Several times a week,Law,Lawyer,Yes,8.0,6.0,7.0,7.0,8.0,6.0,,,
70,Female,No,Yes,27.0,European/Caucasion-American,No,8.0,7.0,6.0,6.0,6.0,5.0,7.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,5.0,8.0,7.0,4.0,7.0,5.0,,,
71,Female,Yes,Yes,22.0,European/Caucasion-American,Yes,8.0,8.0,10.0,7.0,6.0,5.0,9.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,8.0,7.0,7.0,9.0,6.0,7.0,,,
72,Female,Yes,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,5.0,8.0,8.0,6.0,7.0,7.0,,,
73,Female,Yes,Yes,23.0,European/Caucasion-American,Yes,8.0,8.0,8.0,8.0,8.0,7.0,8.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,8.0,6.0,5.0,6.0,6.0,5.0,,,
74,Female,Yes,No,24.0,Latino/Hispanic American,Yes,9.0,9.0,8.0,9.0,,7.0,9.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,6.0,8.0,8.0,5.0,6.0,7.0,,,
75,Female,Yes,Yes,25.0,European/Caucasion-American,Yes,8.0,7.0,7.0,7.0,8.0,7.0,7.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,6.0,8.0,8.0,5.0,6.0,7.0,,,
76,Female,No,Yes,30.0,European/Caucasion-American,No,6.0,4.0,7.0,5.0,6.0,4.0,4.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,6.0,7.0,8.0,5.0,7.0,7.0,,,
77,Female,Yes,Yes,27.0,European/Caucasion-American,Yes,9.0,8.0,8.0,8.0,7.0,5.0,7.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,5.0,6.0,7.0,4.0,5.0,6.0,,,
78,Female,Yes,Yes,28.0,European/Caucasion-American,Yes,8.0,7.0,8.0,10.0,8.0,10.0,8.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,8.0,8.0,5.0,9.0,8.0,9.0,,,
79,Female,Yes,Yes,24.0,European/Caucasion-American,Yes,8.0,10.0,9.0,9.0,8.0,8.0,8.0,25.0,Masters in Public Administration,Political Science/ International Affairs,European/Caucasion-American,1.0,1.0,"London, England",Seemed like a fan night out,Once a month,Several times a week,Journalist,Creative Arts/ Entertainment,Yes,7.0,6.0,8.0,7.0,9.0,8.0,,,
80,Female,No,No,27.0,European/Caucasion-American,No,6.0,8.0,7.0,8.0,7.0,5.0,6.0,26.0,Masters in Public Administration,Political Science/ International Affairs,Other,1.0,1.0,"Palm Springs, California",Seemed like a fan night out,Twice a month,Several times a week,"Congresswoman, and comedian",International /Humanitarian Affairs,Yes,8.0,10.0,9.0,8.0,7.0,6.0,Too much,,
81,Female,Yes,No,22.0,European/Caucasion-American,Yes,8.0,8.0,10.0,7.0,6.0,5.0,8.0,26.0,Masters in Public Administration,Political Science/ International Affairs,Other,1.0,1.0,"Palm Springs, California",Seemed like a fan night out,Twice a month,Several times a week,"Congresswoman, and comedian",International /Humanitarian Affairs,Yes,10.0,10.0,10.0,10.0,10.0,10.0,Too much,,
82,Female,Yes,No,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,26.0,Masters in Public Administration,Political Science/ International Affairs,Other,1.0,1.0,"Palm Springs, California",Seemed like a fan night out,Twice a month,Several times a week,"Congresswoman, and comedian",International /Humanitarian Affairs,Yes,5.0,10.0,10.0,6.0,6.0,6.0,Too much,,
83,Female,Yes,No,23.0,European/Caucasion-American,Yes,7.0,8.0,7.0,8.0,8.0,7.0,7.0,26.0,Masters in Public Administration,Political Science/ International Affairs,Other,1.0,1.0,"Palm Springs, California",Seemed like a fan night out,Twice a month,Several times a week,"Congresswoman, and comedian",International /Humanitarian Affairs,Yes,10.0,9.0,8.0,8.0,7.0,7.0,Too much,,
